rmse,iteration
0.7038261538857288,0
0.7158042714949642,1
0.7158042714949642,2
0.7077761833827839,3
0.7077761833827839,4
0.7077761833827839,5
0.7077761833827839,6
0.6580591163868358,7
0.6595716403127907,8
0.7064434999879816,9
0.7064434999879816,10
0.7077677388087078,11
0.704857125424707,12
0.7028838739420985,13
0.6966253604551497,14
0.704857125424707,15
0.6966253604551497,16
0.6966253604551497,17
0.6966253604551497,18
0.6966253604551497,19
0.6966253604551497,20
0.6966253604551497,21
0.6966253604551497,22
0.6966253604551497,23
0.6966253604551497,24
0.6966253604551497,25
0.6966253604551497,26
0.6763657614183581,27
0.6631035893917303,28
0.6631035893917303,29
0.6595716403127907,30
0.6595716403127907,31
0.652167496924681,32
0.6518305817007298,33
0.6570460083461567,34
0.6570460083461567,35
0.6570460083461567,36
0.6570460083461567,37
0.6233571902449663,38
0.6233571902449663,39
0.6233571902449663,40
0.6233571902449663,41
0.6233571902449663,42
0.6316099688816224,43
0.6233571902449663,44
0.6518305817007298,45
0.6518305817007298,46
0.6518305817007298,47
0.6518305817007298,48
0.6518305817007298,49
0.6518305817007298,50
0.6518305817007298,51
0.6518305817007298,52
0.6233571902449663,53
0.6233571902449663,54
0.6233571902449663,55
0.6233571902449663,56
0.6233571902449663,57
0.6233571902449663,58
0.6233571902449663,59
